Country	Rank	Name	Artists	Cover	Link
France	1	Mise à jour	Jul	https://i.scdn.co/image/ab67616d0000b2739610f139a88a082130c731af	https://open.spotify.com/album/2M8IRxOB9vV2P2OoaeMrkQ
France	2	JVLIVS Prequel : Giulio	SCH	https://i.scdn.co/image/ab67616d0000b27378314563e242098560e45b4b	https://open.spotify.com/album/4xR5GFngZglie60Cc3DvoS
France	3	VENI VIDI VICI	Lacrim	https://i.scdn.co/image/ab67616d0000b273e3d45049f4fd0b3f1bc8f1f9	https://open.spotify.com/album/2vS6zdIbU16YO3zeZ50CcN
France	4	LVDR	Heuss L'enfoiré	https://i.scdn.co/image/ab67616d0000b27326914a6e0c0bf91815d0fc24	https://open.spotify.com/album/5RVH7GP0pwyS3KMnRurfj1
France	5	HIT ME HARD AND SOFT	Billie Eilish	https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62	https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
United Kingdom	1	THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY	Taylor Swift, Post Malone	https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa	https://open.spotify.com/album/5H7ixXZfsNMGbIE5OBSpcb
United Kingdom	2	HIT ME HARD AND SOFT	Billie Eilish	https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62	https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
United Kingdom	3	Brat and it’s the same but there’s three more songs so it’s not	Charli xcx	https://i.scdn.co/image/ab67616d0000b27351d8df7a57a0af8a4b6ee585	https://open.spotify.com/album/316O0Xetgx2NJLRgJBw4uq
United Kingdom	4	BRAT	Charli xcx	https://i.scdn.co/image/ab67616d0000b27388e3822cccfb8f2832c70c2e	https://open.spotify.com/album/2lIZef4lzdvZkiiCzvPKj7
United Kingdom	5	Fireworks & Rollerblades	Benson Boone	https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40	https://open.spotify.com/album/168CdR21lfn0TTyw1Pkdcm
Ireland	1	THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY	Taylor Swift, Post Malone	https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa	https://open.spotify.com/album/5H7ixXZfsNMGbIE5OBSpcb
Ireland	2	HIT ME HARD AND SOFT	Billie Eilish	https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62	https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
Ireland	3	Fireworks & Rollerblades	Benson Boone	https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40	https://open.spotify.com/album/168CdR21lfn0TTyw1Pkdcm
Ireland	4	Stick Season	Noah Kahan	https://i.scdn.co/image/ab67616d0000b2736ee35072df1af802cca09918	https://open.spotify.com/album/50ZenUP4O2Q5eCy2NRNvuz
Ireland	5	Unreal Unearth: Unheard	Hozier	https://i.scdn.co/image/ab67616d0000b2733e1b212546dac35443735241	https://open.spotify.com/album/3P4SQqMMgjqfqVxgLwtYRk
Italy	1	DIO LO SA	Geolier, Michelangelo	https://i.scdn.co/image/ab67616d0000b2736ca1afc5513fd69a8c0c4dc2	https://open.spotify.com/album/1bdXMUERNI9dwREDryk6C7
Italy	2	ICON	Tony Effe	https://i.scdn.co/image/ab67616d0000b273e8f24177ed966e1f814a849c	https://open.spotify.com/album/0zGirhBBoAjHz8t37u1IRW
Italy	3	La Divina Commedia (Deluxe)	Tedua	https://i.scdn.co/image/ab67616d0000b27348c2c3db78eeae67163866f4	https://open.spotify.com/album/21A98jXqZkeJNNv8fcFTaD
Italy	4	FERITE	Capo Plaza	https://i.scdn.co/image/ab67616d0000b273d0e1ffdaa9764768a9ef6ff6	https://open.spotify.com/album/4mLp42UXbXFTMhAM4V1Kgz
Italy	5	RADIO SAKURA	Rose Villain, Madame	https://i.scdn.co/image/ab67616d0000b2737d3c7c72548a5c8bff302714	https://open.spotify.com/album/5MHSMa7gBXLoOGIPbNtOCo
Netherlands	1	HIT ME HARD AND SOFT	Billie Eilish	https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62	https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
Netherlands	2	Zes Gangen Menu	Bigidagoe	https://i.scdn.co/image/ab67616d0000b273652b4ef3143ec0895c633ee4	https://open.spotify.com/album/4nD1iPRy6jhO8bvtHgCFFE
Netherlands	3	Fireworks & Rollerblades	Benson Boone	https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40	https://open.spotify.com/album/168CdR21lfn0TTyw1Pkdcm
Netherlands	4	THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY	Taylor Swift, Post Malone	https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa	https://open.spotify.com/album/5H7ixXZfsNMGbIE5OBSpcb
Netherlands	5	Love Doesn't Exist	Cristian D, $hirak	https://i.scdn.co/image/ab67616d0000b27353a140b0f87c21d4f864b984	https://open.spotify.com/album/0TlTVRoWCe48EuS8o5bEYT
Norway	1	HIT ME HARD AND SOFT	Billie Eilish	https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62	https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
Norway	2	Fireworks & Rollerblades	Benson Boone	https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40	https://open.spotify.com/album/168CdR21lfn0TTyw1Pkdcm
Norway	3	THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY	Taylor Swift, Post Malone	https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa	https://open.spotify.com/album/5H7ixXZfsNMGbIE5OBSpcb
Norway	4	Where I've Been, Isn't Where I'm Going	Shaboozey	https://i.scdn.co/image/ab67616d0000b27360df033c8f8b17384387666a	https://open.spotify.com/album/0DLvFVIfwt3OHdK9kGeEM3
Norway	5	Individ	Golfklubb	https://i.scdn.co/image/ab67616d0000b273af683b959ea15ad74bcd2a0e	https://open.spotify.com/album/40Isxx8PvaqZUvc18jqvId
Poland	1	Kaprysy	sanah	https://i.scdn.co/image/ab67616d0000b27335468b346904b80c89409ea6	https://open.spotify.com/album/47tDANOMCmdRDI5CVcjNKY
Poland	2	ERA47	Oki	https://i.scdn.co/image/ab67616d0000b273f9f11a7e2e02afa1301c260e	https://open.spotify.com/album/5xZ5zOSrtC9rdbZjtNesJu
Poland	3	HIT ME HARD AND SOFT	Billie Eilish	https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62	https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
Poland	4	04:01	KęKę, PSR	https://i.scdn.co/image/ab67616d0000b27350c71f40410d2cbce97aa4da	https://open.spotify.com/album/0rMY6sS2J58oeblsjSWx1G
Poland	5	1-800-OŚWIECENIE	Taco Hemingway	https://i.scdn.co/image/ab67616d0000b2730b7d805ca76219f2be598ccf	https://open.spotify.com/album/2ItrzcwLrygr4I6wlZ3HGU
Romania	1	LUCIFER	RAVA	https://i.scdn.co/image/ab67616d0000b2737018db8047b26bf9deacdf20	https://open.spotify.com/album/7cZxVrz4JkxEP4lVrqX9NS
Romania	2	HARDSTONE PSYCHO	Don Toliver	https://i.scdn.co/image/ab67616d0000b273c800e1a4a237cf8f085183c5	https://open.spotify.com/album/0Kzb3u6kMnOJOZXYFSk33F
Romania	3	HIT ME HARD AND SOFT	Billie Eilish	https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62	https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
Romania	4	Ștefan IV: Umbra	Oscar, Killa Fonic	https://i.scdn.co/image/ab67616d0000b27332b16d0577fdb03bff04281d	https://open.spotify.com/album/5659zuqfAbbi2zIPziei9t
Romania	5	UTOPIA	Travis Scott	https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44	https://open.spotify.com/album/18NOKLkZETa4sWwLMIm0UZ
Sweden	1	In Memory Of Some Stand Up Guys	C.Gambino	https://i.scdn.co/image/ab67616d0000b273026f4ebbc9d6a553a76536c5	https://open.spotify.com/album/77Od9wwcLw10IjhX2D7srV
Sweden	2	HIT ME HARD AND SOFT	Billie Eilish	https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62	https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
Sweden	3	THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY	Taylor Swift, Post Malone	https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa	https://open.spotify.com/album/5H7ixXZfsNMGbIE5OBSpcb
Sweden	4	Jag önskar jag brydde mig mer	Hov1	https://i.scdn.co/image/ab67616d0000b27314aaddd32428105a828faa33	https://open.spotify.com/album/5TPuPsRCf4FN29mAYqTToD
Sweden	5	Satan i gatan (Bonus Version)	Veronica Maggio	https://i.scdn.co/image/ab67616d0000b273de25b67688e3520e24612209	https://open.spotify.com/album/2fOs6I0CgvaZj9agU8EAlH
Switzerland	1	2000	Pashanim	https://i.scdn.co/image/ab67616d0000b27333ff34130a6eeecb47d24d26	https://open.spotify.com/album/2uKD5g5T7oklsMHJDcPgLB
Switzerland	2	HIT ME HARD AND SOFT	Billie Eilish	https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62	https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
Switzerland	3	Fireworks & Rollerblades	Benson Boone	https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40	https://open.spotify.com/album/168CdR21lfn0TTyw1Pkdcm
Switzerland	4	THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY	Taylor Swift, Post Malone	https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa	https://open.spotify.com/album/5H7ixXZfsNMGbIE5OBSpcb
Switzerland	5	HARDSTONE PSYCHO	Don Toliver	https://i.scdn.co/image/ab67616d0000b273c800e1a4a237cf8f085183c5	https://open.spotify.com/album/0Kzb3u6kMnOJOZXYFSk33F
Slovakia	1	VOJNA	Pil C, Luca Brassi10x, Cédric	https://i.scdn.co/image/ab67616d0000b2734f535b05f2eb229ddf6b9c42	https://open.spotify.com/album/0QPn6C5PKpVLqOJnyRiAxZ
Slovakia	2	Bieber Fever	Calin	https://i.scdn.co/image/ab67616d0000b273beec85cc5d3d5ada4b4d4784	https://open.spotify.com/album/2R1uwISz1QbhnV7Nj7PPXB
Slovakia	3	DLHÁ CESTA DOMOV	Gleb	https://i.scdn.co/image/ab67616d0000b2738e1da6a4e732f6c8068c7118	https://open.spotify.com/album/7ii5Bv2QBi1PxlIa2J9MMN
Slovakia	4	HIT ME HARD AND SOFT	Billie Eilish	https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62	https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
Slovakia	5	FLOWDEMORT	Separ	https://i.scdn.co/image/ab67616d0000b273cb08eb80723fa9a0e9d02f4d	https://open.spotify.com/album/3zi1D9yDyynoGCl4vLVWOK
Spain	1	Quién es Dei V?	Dei V	https://i.scdn.co/image/ab67616d0000b273e4e2fa46f29fb191f699c409	https://open.spotify.com/album/2i6InsyHZPR6NBFniDivF5
Spain	2	SAKURA	SAIKO	https://i.scdn.co/image/ab67616d0000b273e346fc6f767ca2ac8365fe60	https://open.spotify.com/album/5z4aZJ5U7LqwRc2tXk98cc
Spain	3	EL ÚLTIMO BAILE	Trueno	https://i.scdn.co/image/ab67616d0000b27368a450f7bcdc187e20f0ba0a	https://open.spotify.com/album/3EWJoKrG9XnCjvAPzkQZ88
Spain	4	Torii Yama	DELLAFUENTE	https://i.scdn.co/image/ab67616d0000b2730bc955815b139df8de63616d	https://open.spotify.com/album/6zSKkBQfQs3B9YncN3SGyI
Spain	5	EL TIBURÓN	Rvfv	https://i.scdn.co/image/ab67616d0000b273c172e893cf2ab48a3bb62d04	https://open.spotify.com/album/44MDlLPFwSdNNACGyOlfW3
Czech Republic	1	Bieber Fever	Calin	https://i.scdn.co/image/ab67616d0000b273beec85cc5d3d5ada4b4d4784	https://open.spotify.com/album/2R1uwISz1QbhnV7Nj7PPXB
Czech Republic	2	HIT ME HARD AND SOFT	Billie Eilish	https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62	https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
Czech Republic	3	PRESIDENT OF SEXICO	STEIN27	https://i.scdn.co/image/ab67616d0000b27394d294d24bf6ed5dc11168d0	https://open.spotify.com/album/3nkaxDNhc38JqBWqvHQACD
Czech Republic	4	ROADTRIP	Calin, Viktor Sheen	https://i.scdn.co/image/ab67616d0000b273b3fd85521903a2238c2923a0	https://open.spotify.com/album/7urc9xduLqYClz4nNzQQhc
Czech Republic	5	Planeta opic	Viktor Sheen	https://i.scdn.co/image/ab67616d0000b273c91b872e57d5bb5caa24b3c9	https://open.spotify.com/album/1lm4K8VIsxdvb6B0Rj6FMl
Ukraine	1	THE BEST	Artem Pivovarov, Klavdia Petrivna	https://i.scdn.co/image/ab67616d0000b27378aed5a849ad080b2d8f0908	https://open.spotify.com/album/0IYlHtB8Mvf8d445ocJFB9
Ukraine	2	HIT ME HARD AND SOFT	Billie Eilish	https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62	https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
Ukraine	3	Молитвы. Анекдоты. Тосты.	Monetochka	https://i.scdn.co/image/ab67616d0000b27370ebd1b40be2fa37d043ee14	https://open.spotify.com/album/1eE8tgJvckpa4qYLp2L9ox
Ukraine	4	25 Best Hits	Скрябін	https://i.scdn.co/image/ab67616d0000b273bd82e0408a5b632ab1904d52	https://open.spotify.com/album/3ghBFMKdopxprZ672ojDLc
Ukraine	5	Cristoforo Colombo	FRIENDLY THUG 52 NGG	https://i.scdn.co/image/ab67616d0000b273cccf10276da7b793666563dc	https://open.spotify.com/album/4PmKko0sUQl7I1cyeBD5Zg
Hungary	1	IGAZIAKÉRT	ekhoe, Pogány Induló	https://i.scdn.co/image/ab67616d0000b273bb29f207d61126590540192e	https://open.spotify.com/album/79TxTooMGOIBxL57zgx6n1
Hungary	2	Vagy Mindent Vagy Semmit	Pogány Induló	https://i.scdn.co/image/ab67616d0000b2733b668d686dd3adbf0970e377	https://open.spotify.com/album/3yzr3LxESMVFNQbz5qZIrH
Hungary	3	A ló túloldalán	Azahriah, DESH	https://i.scdn.co/image/ab67616d0000b2737df2b22056522c8afc43e631	https://open.spotify.com/album/0TMeEvXP5MKfH34B5tBga7
Hungary	4	memento	Azahriah	https://i.scdn.co/image/ab67616d0000b273b9f856c934243d5bb06f0deb	https://open.spotify.com/album/2mtBBnbkj7HMywF5FAtERT
Hungary	5	HIT ME HARD AND SOFT	Billie Eilish	https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62	https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
Austria	1	2000	Pashanim	https://i.scdn.co/image/ab67616d0000b27333ff34130a6eeecb47d24d26	https://open.spotify.com/album/2uKD5g5T7oklsMHJDcPgLB
Austria	2	HIT ME HARD AND SOFT	Billie Eilish	https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62	https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
Austria	3	THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY	Taylor Swift, Post Malone	https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa	https://open.spotify.com/album/5H7ixXZfsNMGbIE5OBSpcb
Austria	4	Fireworks & Rollerblades	Benson Boone	https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40	https://open.spotify.com/album/168CdR21lfn0TTyw1Pkdcm
Austria	5	HARDSTONE PSYCHO	Don Toliver	https://i.scdn.co/image/ab67616d0000b273c800e1a4a237cf8f085183c5	https://open.spotify.com/album/0Kzb3u6kMnOJOZXYFSk33F
